Query resultsraydium_memecoin_validation_v1_frozen,,,,,,,,,,,,,,,,,,,,,,,,
total_tokens,tradeable_30m_count,tradeable_30m_pct,tradeable_15m_count,tradeable_15m_pct,clean_tradeable_30m_count,clean_tradeable_30m_pct,avg_manip_score_tradeable,avg_manip_score_not_tradeable,avg_sniper_intensity_tradeable,avg_sniper_intensity_not_tradeable,avg_first_minute_share_tradeable,avg_first_minute_share_not_tradeable,median_first_minute_share_tradeable,median_first_minute_share_not_tradeable,median_sniper_intensity_tradeable,median_sniper_intensity_not_tradeable,median_realized_return_tradeable,median_realized_return_not_tradeable,avg_median_realized_return_tradeable,avg_median_realized_return_not_tradeable,median_realized_return_clean_tradeable,avg_median_realized_return_clean_tradeable,avg_buy_flow_pct_tradeable,avg_buy_flow_pct_not_tradeable
21914,748,3.41,531,2.42,3,0.01,1.03,1.09,0.306,2.584,0.228,0.921,0.225,1,0.29,1,21,1.3,24.8,3.2,42.2,41,0.515,0.472
